AUS,A01,70292
AUS,A02,2585
AUS,A03,3175
AUS,B,171985
AUS,C10-C12,83504
AUS,C13-C15,5064
AUS,C16,9000
AUS,C17,7925
AUS,C18,7784
AUS,C19,24455
AUS,C20,16161
AUS,C21,9785
AUS,C22,10785
AUS,C23,15538
AUS,C24,43585
AUS,C25,26102
AUS,C26,6033
AUS,C27,6014
AUS,C28,13822
AUS,C29,14087
AUS,C30,10714
AUS,C31_C32,5695
AUS,C33,0
AUS,D35,58882
AUS,E36,16475
AUS,E37-E39,4247
AUS,F,388429
AUS,G45,16038
AUS,G46,122997
AUS,G47,106061
AUS,H49,63815
AUS,H50,8194
AUS,H51,22758
AUS,H52,50759
AUS,H53,11041
AUS,I,77107
AUS,J58,10602
AUS,J59_J60,16208
AUS,J61,48157
AUS,J62_J63,49017
AUS,K64,113051
AUS,K65,46260
AUS,K66,41675
AUS,L68,235479
AUS,M69_M70,140123
AUS,M71,0
AUS,M72,0
AUS,M73,0
AUS,M74_M75,0
AUS,N,95209
AUS,O84,126613
AUS,P85,92707
AUS,Q,130374
AUS,R_S,56475
AUS,T,10895
AUS,U,0
AUT,A01,9382
AUT,A02,3294
AUT,A03,90
AUT,B,3413
AUT,C10-C12,27457
AUT,C13-C15,4262
AUT,C16,10278
AUT,C17,8179
AUT,C18,3400
AUT,C19,7412
AUT,C20,18165
AUT,C21,5938
AUT,C22,8026
AUT,C23,8726
AUT,C24,20039
AUT,C25,18992
AUT,C26,7902
AUT,C27,13492
AUT,C28,28271
AUT,C29,19785
AUT,C30,3582
AUT,C31_C32,8543
AUT,C33,7943
AUT,D35,27118
AUT,E36,1236
AUT,E37-E39,8849
AUT,F,62955
AUT,G45,11460
AUT,G46,41318
AUT,G47,29465
AUT,H49,21605
AUT,H50,136
AUT,H51,4949
AUT,H52,13677
AUT,H53,3444
AUT,I,32170
AUT,J58,3651
AUT,J59_J60,3643
AUT,J61,7873
AUT,J62_J63,13813
AUT,K64,22385
AUT,K65,9192
AUT,K66,4371
AUT,L68,57931
AUT,M69_M70,20552
AUT,M71,10471
AUT,M72,2738
AUT,M73,6087
AUT,M74_M75,1998
AUT,N,26305
AUT,O84,30760
AUT,P85,25928
AUT,Q,39737
AUT,R_S,17010
AUT,T,230
AUT,U,0
BEL,A01,11568
BEL,A02,524
BEL,A03,122
BEL,B,803
BEL,C10-C12,51913
BEL,C13-C15,6600
BEL,C16,4023
BEL,C17,5908
BEL,C18,4212
BEL,C19,47952
BEL,C20,43897
BEL,C21,19415
BEL,C22,7160
BEL,C23,9617
BEL,C24,24998
BEL,C25,15307
BEL,C26,4232
BEL,C27,4946
BEL,C28,12512
BEL,C29,22193
BEL,C30,2701
BEL,C31_C32,4763
BEL,C33,5246
BEL,D35,18774
BEL,E36,3255
BEL,E37-E39,11598
BEL,F,90432
BEL,G45,14761
BEL,G46,66069
BEL,G47,36232
BEL,H49,23076
BEL,H50,2565
BEL,H51,4120
BEL,H52,32721
BEL,H53,5023
BEL,I,21186
BEL,J58,3822
BEL,J59_J60,5227
BEL,J61,15803
BEL,J62_J63,18809
BEL,K64,33259
BEL,K65,12930
BEL,K66,11100
BEL,L68,60327
BEL,M69_M70,64274
BEL,M71,13080
BEL,M72,3963
BEL,M73,7767
BEL,M74_M75,3231
BEL,N,40068
