,,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,TWN,USA,ROW
AUS,C20,3131.606172,0.117243504,0.236346274,0.036930786,1.496073483,1.618201597,1.314665077,22.6531373,0.127279339,0.546969646,7.006513063,3.394386587,0.689060661,0.048518619,0.363710918,2.133512387,38.05648513,1.91713546,0.02919765,0.019593702,15.51755169,16.39615029,2.711817442,2.507868719,20.43793471,19.12516338,0.123745246,0.008325891,0.195400213,1.512663116,0.335236141,1.501482585,5.721993805,0.934679105,0.417101099,0.088313618,3.289817265,0.118605499,0.172282408,1.84362411,1.79984326,4.026961216,67.8260275,316.6019265
AUS,C21,4694.498612,0.079542988,1.20382408,1.377295789,6.813179921,26.00381494,0.276920981,203.0736622,0.089785523,2.146484367,13.70810374,0.12929806,23.65915382,0.012943057,1.447392047,15.52063828,6.373740121,0.192623005,0.053462303,0.164434021,13.34937321,1.320651763,1.669921096,1.109382092,5.277399556,46.12296739,0.003052201,0.001410497,0.005043512,1.697786008,0.094824393,2.518807204,4.844353586,8.737192818,0.01646071,0.540038316,0.127977206,0.716188713,0.166524946,0.194332068,0.057485482,49.52741886,54.40572337,233.5427296
AUS,C22,2465.334385,0.227590871,0.290827381,0.036739469,0.799758498,3.486742399,0.447249282,20.91267583,0.024161551,0.055908927,3.636782855,0.341642948,0.3487359,0.011202487,0.350032737,0.808705888,6.498618633,0.108770562,0.007024219,0.053777521,4.774515457,2.030820916,0.22349099,0.62510969,6.365088831,2.651634764,0.022940463,0.008407965,0.041248546,1.223062768,0.023789178,2.100508708,0.540472434,0.578386547,0.061081267,0.213567417,1.09355304,0.021118445,0.04541528,0.413013364,0.416293901,1.172910844,20.81510318,81.68652661
AUS,C23,-832.6168703,0.038337054,0.435472262,0.006727903,0.279380602,0.615583525,0.33723651,5.17504817,0.005628872,0.014667462,0.680180405,0.105367704,0.154698818,0.001989089,0.020624941,0.473132584,1.492167952,0.028515563,0.002069742,0.005814956,0.788045497,0.50699904,0.052726062,0.195300862,2.17106671,0.833061913,0.001749453,0.00212018,0.003475813,0.220133423,0.004259759,0.658630303,0.167789877,0.07564657,0.009652048,0.048465898,0.110258072,0.002729228,0.006636614,0.069907818,0.048400221,0.395610682,5.648055913,8.257009644
AUS,C24,669.2886039,0.334641683,0.430089617,0.019722296,1.062694845,3.730546786,1.350665909,23.58630041,0.018229223,0.081975186,7.682874054,1.264837439,0.459983328,0.021870297,0.054022291,2.285837289,19.23147478,0.063277802,0.005564489,0.077816253,2.951056713,3.783323925,0.214414358,0.692060789,8.881577061,1.002557102,0.004374024,0.030355338,0.001546464,0.917256781,0.006934594,9.027661819,0.574748189,0.241723125,0.035233289,0.035862579,0.814979155,0.007063951,0.025170204,0.203673158,0.427706003,0.321566738,46.58195856,-0.015531526
AUS,C25,3497.286641,0.517022131,4.818573289,0.047453427,1.344840638,3.861152343,1.21126729,26.08189181,0.023228275,0.103568261,4.978607057,0.471522154,0.886823237,0.013446603,0.129239907,7.356217738,6.845071408,0.411939459,0.019891808,0.02853919,2.746202871,11.96307512,0.201693766,0.945356535,35.63072485,6.362228906,0.007855061,0.015669433,0.010296643,14.95088801,0.05386927,3.064533478,8.630935267,1.038993401,0.102445674,0.414663576,1.132195278,0.017413916,0.039263719,1.20177722,0.324409609,1.398069759,64.09794533,249.7782707
AUS,C26,1995.260844,2.41840613,2.029722148,0.316083854,9.335808473,11.78088067,6.976846202,79.40692446,0.0526138,0.682889252,19.12266531,1.328858701,2.541484799,0.087526911,0.460204581,8.797065896,20.9906149,0.168071639,0.307691125,0.082639456,7.904101984,8.013733524,0.840836145,4.267270613,29.82430856,9.672310507,0.106457663,0.014478993,0.115939884,6.632969954,0.00855095,5.740508775,0.99617791,2.518035511,0.316331585,16.93204404,1.035299827,0.01783089,0.033531205,2.451019993,2.034876444,3.715455176,97.91234061,566.3569728
AUS,C27,1488.241961,0.408769649,0.42466833,0.045865385,0.843117374,2.607377543,0.53016492,22.03722248,0.01341474,0.050718593,5.843387613,0.252509368,0.788698998,0.015020555,0.209178321,1.238003375,8.890382327,0.092942773,0.104618993,0.020782946,3.945670787,1.530598907,0.157395733,0.423780757,9.441536569,6.418592017,0.003324998,0.011271544,0.012578887,1.328648206,0.036705365,1.513877892,0.329189142,0.295675215,0.144267337,0.16479365,0.335152334,0.011702273,0.042142595,0.594718102,0.720266621,3.536037969,18.83155064,122.620105
AUS,C28,3111.194069,1.79084355,3.102997618,0.368160784,6.862787524,17.14680902,1.738927622,101.4486743,0.022224396,0.405470003,19.167532,1.330143448,3.181813082,0.118478307,0.781273928,5.149556421,15.5599492,0.267240326,0.084717512,0.107075795,22.7289476,10.26060123,0.490070498,2.856541334,8.612794592,34.32556496,0.019790353,0.085811429,0.003680654,12.59953074,0.025498638,7.182303909,4.102415841,1.433839238,0.54076164,0.316662073,6.066239534,0.224899092,0.080138887,2.384184991,1.847674039,4.421665981,99.26570154,503.01203
AUS,C29,7891.948335,0.159125594,0.124858484,0.016341932,0.958153074,2.439674934,1.028113858,22.1365939,0.062605554,0.027844781,4.383124405,0.211664364,0.303002451,0.221810897,0.162586767,0.836889296,14.85828876,0.037456805,0.01422859,0.021602416,26.39245804,1.741264121,0.812272292,0.522141688,4.28361761,5.066400414,0.007851209,0.012394401,0.004582194,0.334054383,0.013475526,2.582293633,0.412470123,0.33707295,0.040301311,0.074883238,8.962365044,0.028901733,0.01260052,0.306485162,0.266354348,0.747896265,131.9342653,1174.625906
